article_title,article_body,article_url,article_headline,article_author
Halloween,,https://www.theguardian.com/artanddesign/gallery/2018/oct/27/the-art-of-pumpkin-carving-in-pictures,The art of pumpkin carving,
Brazil,"Brazil’s leftist presidential candidate Fernando Haddad has narrowed the lead of his rightwing rival Jair Bolsonaro ahead of Sunday’s election runoff, according to two polls published on the eve of the election.",https://www.theguardian.com/world/2018/oct/28/brazil-election-leftwinger-fernando-haddad-narrows-lead-in-polls-ahead-of-runoff,Leftwinger Fernando Haddad narrows lead as polls open in runoff,
Saudi Arabia,"One of Saudi Arabia’s most prominent exiled activists has quit Twitter and Facebook, saying that the social media giants have become tools for oppressive governments and trolls to harass and silence campaigners.",https://www.theguardian.com/world/2018/oct/28/twitter-facebook-saudi-oppression,"Social media ‘aids oppressors’, says rights campaigner",Emma Graham-Harrison
'Supporting greed over needs',One ,https://www.theguardian.com/us-news/2018/oct/27/big-pharma-midterms-republicans-democrats,The group taking on big pharma in the US midterms,Tom McCarthy
Mexico City,,https://www.theguardian.com/world/gallery/2018/oct/28/mexico-city-day-of-the-dead-parade-in-pictures,The Day of the Dead parade 2018,
Armistice centenary,"A campaign to recognise the people from different faiths and ethnic backgrounds who fought for Britain in the first world war, including 400,000 Muslim soldiers, has been launched ahead of the armistice centenary.",https://www.theguardian.com/world/2018/oct/28/remember-together-campaign-muslims-other-faiths-fought-first-world-war-armistice-centenary,Campaign launched to recognise Muslims and other faiths who fought in WWI,Caroline Davies
Glenn Hoddle,"Glenn Hoddle remains in a serious condition in hospital but is responding well to treatment after suffering a heart attack, with the family of the former England manager having extended their thanks to the sound supervisor who administered first aid at BT Sport’s London studios.",https://www.theguardian.com/football/2018/oct/28/glenn-hoddle-serious-condition-responding-well-heart-attack,Ex-England footballer continuing to respond well to treatment after heart attack,Dominic Fifield
Germany,"Germany’s ruling parties are reeling from their second electoral upset in a fortnight, after voters in the key state of Hesse appeared to have abandoned them in droves, plunging Angela Merkel’s coalition government into renewed crisis.",https://www.theguardian.com/world/2018/oct/28/merkel-suffers-another-election-setback-key-german-state-of-hesse,Merkel suffers another election setback in key state of Hesse,Josie Le Blond
Leicester City FC,Investigators are working to discover more details about Saturday night’s helicopter crash outside ,https://www.theguardian.com/football/2018/oct/28/city-reels-from-leicester-helicopter-crash-that-had-five-on-board-,Locals in shock after helicopter crashed with five believed onboard,Jacob Steinberg
Cricket,"Sledging from Jason Hughes, the older brother of Phillip, has prompted ",https://www.theguardian.com/sport/2018/oct/27/david-warner-leaves-field-after-cricket-sledge-in-sydney,David Warner leaves field after sledge in Sydney,
'Lot of anxiety',"Disability support agencies have raised concerns about a decision to use funds previously earmarked for the National Disability Insurance Scheme to fund drought relief, saying it adds to the uncertainty and anxiety already surrounding the scheme’s success.",https://www.theguardian.com/australia-news/2018/oct/27/move-to-reassign-ndis-funds-for-drought-relief-upsets-disability-groups,Move to reassign NDIS funds for drought relief upsets disability support groups,Calla Wahlquist
Children on Nauru,Australians want the government to accept an offer from New Zealand to resettle refugees in detention on ,https://www.theguardian.com/australia-news/2018/oct/28/almost-80-of-voters-support-nz-resettlement-for-children-on-nauru-poll-shows,"Almost 80% of voters support NZ resettlement option, poll shows",
Pittsburgh shooting,The names of 11 people shot dead in a synagogue in Pittsburgh were ,https://www.theguardian.com/us-news/2018/oct/28/pittsburgh-shooting-jewish-organisations-express-horror-at-attack-victims,Secular and faith leaders express horror at attack,Harriet Sherwood
Andrew Giles,"A Labor MP says the Greens are a “vanity project” that, at best, influences the “social democratic project” in Australia, and Labor should reabsorb voters on the left of ",https://www.theguardian.com/australia-news/2018/oct/27/labor-mp-says-greens-a-vanity-project-and-opposition-must-steal-votes-back-from-the-left,Labor MP says Greens a 'vanity project' and opposition must steal votes back from the left,Paul Karp
Two-year limit,The ,https://www.theguardian.com/australia-news/2018/oct/27/fears-of-another-stolen-generation-after-new-south-wales-move-on-foster-care,Fears of ‘another stolen generation’ after New South Wales' move on foster care,Lorena Allam
Cash for access,"The Greens and anti-corruption campaigners have urged Labor and the Liberals to reveal the corporate participants of their respective business forums, saying an analysis suggests almost 100 businesses could be paying tens of thousands of dollars to mix with politicians.",https://www.theguardian.com/australia-news/2018/oct/28/liberals-and-labor-urged-to-come-clean-on-business-paying-for-political-access,Liberals and Labor urged to come clean on business ties,Christopher Knaus
Energy,The ,https://www.theguardian.com/australia-news/2018/oct/27/institute-of-public-affairs-blasts-coalitions-un-liberal-energy-policies,Institute of Public Affairs blasts Coalition's 'un-Liberal' policies,Paul Karp
Politics,Crossbench MPs have warned the government they will use the balance of power in the lower house to push for a federal anti-corruption commission.,https://www.theguardian.com/australia-news/2018/oct/28/crossbench-mps-confirm-push-for-federal-anti-corruption-commission,Crossbench MPs confirm push for federal anti-corruption commission,Paul Karp
The story of us,"he story of who we are – of where we came from and of the trails blazed by our ancestors – is everything. Even in my primary school years beginning in 1969, as our older siblings and cousins were burning draft cards and marching in the streets against Australia’s part in another imperial war, Vietnam, Anzac already seemed secure, though not nearly as ostentatiously so as today, in our slowly evolving national narrative.",https://www.theguardian.com/news/2018/oct/28/the-story-of-us-how-the-inflated-anzac-myth-obscures-our-national-identity,How the inflated Anzac myth obscures our national identity,Paul Daley
Nauru,At some point this week the ,https://www.theguardian.com/australia-news/2018/oct/27/how-australia-finally-started-to-care-about-asylum-seekers-and-refugees-on-nauru,How Australia finally started to care about the asylum seekers and refugees,Helen Davidson
The Guardian view,he classicist Professor Mary Beard found herself the focus of a ,https://www.theguardian.com/commentisfree/2018/oct/28/the-guardian-view-on-historical-reconstruction-dont-let-it-close-down-arguments,Historical reconstruction: don’t let it close down arguments,
,his week The Economist magazine featured Australia ,https://www.theguardian.com/business/grogonomics/2018/oct/28/is-it-time-to-end-the-stories-about-the-australian-economic-miracle,Is it time to end the stories about the 'Australian economic miracle'?,
," year on, there’s already a depressing familiarity to the #MeToo cycle. First comes the revelation. Then days of salacious headlines. Then the moment of reckoning: a powerful man either loses his job. Or he doesn’t. And on we go until it all happens again. When ",https://www.theguardian.com/commentisfree/2018/oct/28/metoo-men-love-movement,"If #MeToo is to work, we must call out the men we love",
'Worth it',"Elon Musk, the billionaire chief executive of Tesla, has said the tweet that cost him and the company $20m (£16m) each in fines by the US ",https://www.theguardian.com/technology/2018/oct/28/elon-musk-says-40m-tweet-tesla-was-worth-it-fines,Elon Musk defends $40m tweet after being fined,
,"s a child, I thought little about the security team stationed outside my north-west London Jewish primary school. I didn’t spend much time asking why there were guards at each entrance to our synagogue every Saturday, either. Seeing my mum stood with a walkie-talkie, patrolling the front gates through the classroom window didn’t seem out of the ordinary; my dad leaving the Shabbat service halfway through to stand outside and keep us safe felt run of the mill.",https://www.theguardian.com/commentisfree/2018/oct/28/after-violence-pittsburgh-need-more-than-silent-support,The Pittsburgh attack affects Jews worldwide – we need more than your silent support,
Victorian election 2018,Protesters dressed as lobsters crashed Victorian opposition leader Matthew Guy’s election campaign launch on Sunday.,https://www.theguardian.com/australia-news/2018/oct/28/protesters-dressed-as-lobsters-crash-victorian-liberals-campaign-launch,Protesters dressed as lobsters crash Liberals' campaign launch,Melissa Davey
Rod Bower,Outspoken rector of Gosford Anglican church and human rights activist Father Rod Bower will run as an independent candidate for the Senate in the federal election.,https://www.theguardian.com/australia-news/2018/oct/28/outspoken-anglican-rector-rod-bower-announces-bid-for-senate-seat,Outspoken Anglican rector announces bid for Senate seat,Melissa Davey
UK news," is to take the lead in combating extreme rightwing terrorism amid mounting fears that white supremacists are increasing their efforts to foment violent racial conflict on Britain’s streets, The Guardian has learned.",https://www.theguardian.com/uk-news/2018/oct/28/mi5-lead-battle-against-uk-rightwing-extremists-police-action,MI5 to lead battle against rise of rightwing extremists,Vikram Dodd
Victorian election,,https://www.theguardian.com/australia-news/ng-interactive/2018/oct/28/victorian-election-2018-on-the-ground-in-morwell-part-one,"On the ground in Morwell, part one",
,,https://www.theguardian.com/football/live/2018/oct/28/leicester-city-helicopter-crash-latest-updates,Leicester City helicopter crash: owner believed to have been onboard,Will Unwin
Sri Lanka,One person has died and two were injured after the bodyguards of a Sri Lankan government minister opened fire on a crowd amid a deepening constitutional crisis in the island nation.,https://www.theguardian.com/world/2018/oct/28/sri-lankan-ministers-bodyguards-open-fire-on-protesters,Minister's bodyguards open fire on protesters,Michael Safi
Syria,"Syrian officials, foreign archaeologists and restoration specialists have attended the reopening ceremony of Syria’s National Museum in the heart of Damascus, more than six years after it was shut down and emptied as the country’s civil war encroached on the capital.",https://www.theguardian.com/world/2018/oct/28/syria-national-museum-damascus-reopening-hailed-as-return-to-normal-life,Archaeology museum's reopening hailed as 'return to normal life',
Brazil,Cristina Gozdal turned out to vote on Sunday morning wearing the yellow and green colours of Brazil’s national flag and hoping her country was on the verge of electing its very own Donald Trump.,https://www.theguardian.com/world/2018/oct/28/jair-bolsonaro-on-brink-of-victory-in-brazil-as-fears-for-democracy-grow,Jair Bolsonaro on brink of victory as fears for democracy grow,Tom Phillips
Pittsburgh shooting,The ,https://www.theguardian.com/us-news/2018/oct/28/pittsburgh-shooting-victims-suspect,Husband and wife and two brothers among 11 victims,Erin Durkin
